server,server_name_slug,network_name,country_code,as
webchat.irc-nerds.net,IRC-Nerds-webchat_irc-nerds_net-US-AS46475,IRC-Nerds,US,AS46475 Limestone Networks, Inc.
racknerd.irc-nerds.net,IRC-Nerds-racknerd_irc-nerds_net-US-AS36352,IRC-Nerds,US,AS36352 ColoCrossing
robotics.irc-nerds.net,IRC-Nerds-robotics_irc-nerds_net-AU-AS16276,IRC-Nerds,AU,AS16276 OVH SAS
#irc.freeunibg.eu,FreeUniBG-irc_freeunibg_eu-DE-AS16276,FreeUniBG,DE,AS16276 OVH SAS
institute.tilde.chat,tilde_chat-institute_tilde_chat-DE-AS24940,tilde.chat,DE,AS24940 Hetzner Online GmbH
cosmic.tilde.chat,tilde_chat-cosmic_tilde_chat-GB-AS20473,tilde.chat,GB,AS20473 The Constant Company, LLC
team.tilde.chat,tilde_chat-team_tilde_chat-US-AS16276,tilde.chat,US,AS16276 OVH SAS
aussie.tilde.chat,tilde_chat-aussie_tilde_chat-AU-AS16276,tilde.chat,AU,AS16276 OVH SAS
bsd.tilde.chat,tilde_chat-bsd_tilde_chat-DE-AS24940,tilde.chat,DE,AS24940 Hetzner Online GmbH
ctrl-c.tilde.chat,tilde_chat-ctrl-c_tilde_chat-US-AS14061,tilde.chat,US,AS14061 DigitalOcean, LLC
wonder.slashnet.org,SlashNET-wonder_slashnet_org-US-AS3549,SlashNET,US,AS3549 Level 3 Parent, LLC
moo.slashnet.org,SlashNET-moo_slashnet_org-US-AS8100,SlashNET,US,AS8100 QuadraNet Enterprises LLC
spaniels.slashnet.org,SlashNET-spaniels_slashnet_org-GB-AS63949,SlashNET,GB,AS63949 Akamai Connected Cloud
#wurst.slashnet.org,SlashNET-wurst_slashnet_org-DE-AS16509,SlashNET,DE,AS16509 Amazon.com, Inc.
#irc.sohbet.net,Sohbet_net-irc_sohbet_net-TR-AS43391,Sohbet.net,TR,AS43391 Netdirekt A.S.
united.geeknode.org,GeekNode-united_geeknode_org-FR-AS16276,GeekNode,FR,AS16276 OVH SAS
wirefull.geeknode.org,GeekNode-wirefull_geeknode_org-FR-AS29075,GeekNode,FR,AS29075 IELO-LIAZO SERVICES SAS
hivane.geeknode.org,GeekNode-hivane_geeknode_org-FR-AS34019,GeekNode,FR,AS34019 Hivane
public-irc.w3.org,w3_org-public-irc_w3_org-US-AS3,w3.org,US,AS3 Massachusetts Institute of Technology
irc.chaat.fr,Chaat-irc_chaat_fr-FR-AS16276,Chaat,FR,AS16276 OVH SAS
jmt1.darkfasel.net,darkfasel_net-jmt1_darkfasel_net-DE-AS35366,darkfasel.net,DE,AS35366 ISPpro Internet KG
jmt0.darkfasel.net,darkfasel_net-jmt0_darkfasel_net-DE-AS42730,darkfasel.net,DE,AS42730 EVANZO e-commerce GmbH
irc.lim.de.euirc.net,euIRC-irc_lim_de_euirc_net-DE-AS16276,euIRC,DE,AS16276 OVH SAS
irc.sbg.fr.euirc.net,euIRC-irc_sbg_fr_euirc_net-FR-AS16276,euIRC,FR,AS16276 OVH SAS
irc.inn.at.euirc.net,euIRC-irc_inn_at_euirc_net-AT-AS31394,euIRC,AT,AS31394 nemox.net Informationstechnologie OG
defiant.geekshed.net,GeekShed-defiant_geekshed_net-CA-AS14061,GeekShed,CA,AS14061 DigitalOcean, LLC
#ds9.geekshed.net,GeekShed-ds9_geekshed_net-US-AS19994,GeekShed,US,AS19994 Rackspace Hosting
rubicon.geekshed.net,GeekShed-rubicon_geekshed_net-US-AS19994,GeekShed,US,AS19994 Rackspace Hosting
jolly.geekshed.net,GeekShed-jolly_geekshed_net-CA-AS6939,GeekShed,CA,AS6939 Hurricane Electric LLC
nexus.skychatz.org,SkyChatz-nexus_skychatz_org-MY-AS4788,SkyChatz,MY,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.
galaxy.skychatz.org,SkyChatz-galaxy_skychatz_org-SG-AS16276,SkyChatz,SG,AS16276 OVH SAS
java.skychatz.org,SkyChatz-java_skychatz_org-SG-AS16276,SkyChatz,SG,AS16276 OVH SAS
irc.cyberircd.net,BGirc_com-irc_cyberircd_net-CA-AS16276,BGirc.com,CA,AS16276 OVH SAS
irc.bgirc.com,BGirc_com-irc_bgirc_com-FR-AS16276,BGirc.com,FR,AS16276 OVH SAS
